259,-75,-536,-459
260,-157,-557,-470
261,-190,-580,-485
262,-251,-605,-504
263,-284,-633,-525
264,-295,-661,-546
265,-278,-691,-563
266,-273,-722,-577
267,-262,-753,-588
268,-284,-783,-594
269,-321,-810,-595
270,-289,-831,-591
271,-234,-844,-582
272,-273,-850,-570
273,-196,-850,-556
274,-141,-846,-540
275,-146,-843,-522
276,-212,-840,-504
277,-295,-840,-486
278,-311,-841,-468
279,-190,-842,-449
280,-223,-843,-430
281,-547,-846,-412
282,-1478,-848,-393
283,-32768,-851,-374
284,-32768,-854,-356
285,-32768,-858,-339
286,-32768,-861,-324
287,-1106,-865,-309
288,-574,-869,-293
289,-201,-873,-273
290,45,-877,-249
291,133,-881,-222
292,265,-885,-192
293,368,-890,-160
294,429,-895,-126
295,429,-900,-90
296,467,-905,-53
297,478,-911,-16
298,517,-916,21
299,500,-922,58
300,495,-928,96
301,418,-934,135
302,412,-940,175
303,714,-946,216
304,725,-948,256
305,741,-943,293
306,780,-925,328
307,835,-883,361
308,911,-818,391
309,977,-743,418
310,1015,-673,442
311,1065,-619,464
312,1054,-583,484
313,1054,-561,501
314,1021,-547,515
315,955,-542,527
316,747,-542,537
317,517,-546,546
318,440,-552,553
319,270,-561,559
320,111,-572,562
321,61,-586,560
322,160,-603,554
323,138,-622,545
324,1,-644,531
325,-53,-668,511
326,50,-696,485
327,56,-724,454
328,50,-752,419
329,72,-779,379
330,83,-802,335
331,67,-821,287
332,61,-832,236
333,67,-835,182
334,61,-832,126
335,56,-823,68
336,67,-815,9
337,56,-808,-49
338,61,-804,-106
339,50,-802,-163
340,56,-801,-221
341,50,-801,-282
342,-228,-800,-346
343,-1056,-800,-412
344,-32768,-800,-478
345,-32768,-800,-542
346,-32768,-800,-604
347,-32768,-802,-665
348,-1166,-804,-723
349,-470,-808,-777
350,-135,-811,-828
351,61,-815,-876
352,248,-820,-921
353,363,-825,-964
354,451,-829,-1005
355,511,-835,-1044
356,533,-840,-1080
357,544,-846,-1112
358,517,-851,-1140
359,550,-857,-1165
360,561,-862,-1188
361,594,-868,-1210
362,583,-874,-1231
363,583,-879,-1251
364,495,-883,-1270
365,336,-885,-1287
366,533,-879,-1302
367,835,-859,-1316
368,829,-816,-1329
369,851,-750,-1342
370,960,-672,-1355
371,977,-600,-1368
372,993,-547,-1381
373,1015,-514,-1394
374,993,-494,-1407
375,949,-484,-1420
376,873,-480,-1433
377,714,-480,-1447
378,522,-483,-1462
379,330,-486,-1478
380,193,-493,-1495
381,100,-504,-1513
382,-14,-518,-1533
383,-102,-536,-1554
384,-185,-557,-1576
385,-278,-581,-1600
386,-146,-608,-1626
387,-53,-635,-1653
388,-64,-664,-1680
389,-130,-693,-1706
390,-141,-721,-1730
391,-146,-747,-1753
392,-174,-772,-1774
393,-185,-793,-1792
394,-113,-808,-1807
395,-124,-815,-1820
396,-146,-816,-1830
397,-185,-814,-1837
398,-135,-812,-1841
399,-141,-811,-1843
400,-135,-811,-1843
401,-108,-812,-1842
402,-80,-813,-1839
403,-119,-814,-1835
404,-536,-815,-1830
405,-1429,-816,-1824
406,-32768,-818,-1817
407,-32768,-819,-1809
408,-32768,-822,-1801
409,-32768,-825,-1794
410,-1188,-830,-1788
411,-607,-834,-1782
412,-311,-838,-1776
413,-36,-842,-1770
414,133,-846,-1763
415,297,-850,-1755
416,374,-854,-1746
417,412,-859,-1736
418,467,-865,-1725
419,484,-871,-1713
420,484,-877,-1702
421,467,-883,-1693
422,434,-888,-1686
423,429,-894,-1682
424,445,-899,-1679
425,478,-904,-1678
426,539,-907,-1678
427,544,-905,-1679
428,544,-893,-1681
